Course Title,Survey Score,Q1 - To what extent is the following statement true:  I would recommend others to attend [Course Title],Q2 - [Optional] That's great! What was the main reason you feel this way?,Q3 - [Optional] We're sorry to hear that. What was the main reason you feel this way?,Q4 - [Optional] What was the main reason you feel this way?,"Q5 - To what extent is the following statement true:  I am satisfied with the services offered by [Training Provider Name] (e.g., efficiency in handling registration matters, responsiveness in addressing learner queries etc.).",Q6 - To what extent is the following statement true:  The course content covered the knowledge/skills as outlined in the course synopsis.,Q7 - To what extent is the following statement true:  The course content is relevant to my work.,"Q8 - To what extent is the following statement true:  The course materials supported my learning (e.g., notes, references, presentation slides, etc.).","Q9 - To what extent is the following statement true:  The teaching methods used were innovative (e.g., teaching strategies and activities, technological tools, etc.).",Q10 - The teaching methods used were effective in helping me learn and acquire skills.,Q11_1 - To what extent is the following statement true about your instructor(s):  The instructor(s) demonstrated subject matter expertise (Trainer 1),Q11_2 - To what extent is the following statement true about your instructor(s):  The instructor(s) demonstrated subject matter expertise (Trainer 2),Q11_3 - To what extent is the following statement true about your instructor(s):  The instructor(s) demonstrated subject matter expertise (Trainer 3),Q12_1 - To what extent is the following statement true about your instructor(s):  The instructor(s) was/were engaging in the delivery of the course (Trainer 1),Q12_2 - To what extent is the following statement true about your instructor(s):  The instructor(s) was/were engaging in the delivery of the course (Trainer 2),Q12_3 - To what extent is the following statement true about your instructor(s):  The instructor(s) was/were engaging in the delivery of the course (Trainer 3),Q13 - To what extent is the following statement true:  The course duration was just right.,Q14 - I found the course duration ________.,Q15 - To what extent is the following statement true:  The course met my learning needs.,Q16 - To what extent is the following statement true:  The course provided good value-for-money.,Q17 - Are the following statements true to you (select all that apply)?:,Q25 - To what extent is the following statement true:  The course will help me progress in my work / career.,Q26 - To what extent is the following statement true:  The skills and knowledge acquired in the course will lead to improvements in my performance at work.,Q27 - [Optional] What is one thing we can do to improve future classes?,Trainer Name 1,Trainer Name 2,Trainer Name 3
Cultivating Adaptability Navigating Changes,5,To a Very Large Extent,It is very useful module for learning new skillsset,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,Wee Irene,,
Design Thinking Expresso,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,More targeted examples for learners' profiles for smaller groups,,,
Design Thinking Expresso,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,Joel Ng Tzuo-Wei,,
The Future of Learning: Design for All with Technology & UDL,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,Wee Irene,,
Agility in Action: Embedding Learning in the Flow of Work for Performance at Speed,3,To Some Extent,,,Good content,To a Very Large Extent,To a Large Extent,To Some Extent,To Some Extent,To a Large Extent,To Some Extent,,,,,,,To Some Extent,,To Some Extent,To Some Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To Some Extent,To Some Extent,"Align the ppt slides, handout and reading material",,,
Personal Mastery - Self-Management for Holistic Well Being,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,Phua Ying Tse Louise,,
Personal Mastery - Self-Management for Holistic Well Being,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,Phua Ying Tse Louise,,
Creating Dynamic Online Courses: The Power of CoI and AI,5,To a Very Large Extent,,,,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,Eunice Lim Swee Suat,,
Personal Mastery - Self-Management for Holistic Well Being,4,To a Large Extent,,,,To Some Extent,To a Large Extent,To a Large Extent,To Some Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,To a Large Extent,,,To a Large Extent,,To Some Extent,To Some Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,Phua Ying Tse Louise,,
Small But Mighty: The Microlearning Course that Makes a Big Impact,4,To a Large Extent,Relevant content ,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,,,To a Large Extent,,,To Some Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,Nothing ,Eunice Lim Swee Suat,,
Effective Presentation Skillsets at the Workplace,5,To a Very Large Extent,"Improve confidence, how to prepare the slides. Open mindset. ",,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,Wee Irene,,
Learning That Works: The 6Ds Framework for Business-Aligned Training Design,5,To a Very Large Extent,Useful learning.,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,Nil,Sim Lee Eng Serene,,
"Graduate Certificate in Innovative Approaches to Adult Learning - GCIAL (f2f, sync) – AY2025",3,To Some Extent,,,It can be very difficult to understand as we are new to this.,To Some Extent,To Some Extent,To Some Extent,To Some Extent,To Some Extent,To Some Extent,To a Very Large Extent,To Some Extent,To Some Extent,To a Large Extent,To a Large Extent,To Some Extent,To a Large Extent,,To a Large Extent,To a Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To Some Extent,To a Large Extent,,Bi Xiaofang,Ho Yan Yin,"Chye Yen Leng, Stefanie"
Facilitate with Flair: The Workshop Method Unleashed for Ultimate Impact,4,To a Large Extent,,,,To a Large Extent,To a Very Large Extent,To a Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To Some Extent,To a Large Extent,,Sim Lee Eng Serene,,
Design Thinking Expresso,4,To a Large Extent,Great intro to Design Thinking ,,,To a Large Extent,To a Very Large Extent,To Some Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To Some Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To Some Extent,To Some Extent,,Joel Ng Tzuo-Wei,,
Leading & Navigating Change Successfully at the Workplace,4,To a Large Extent,I had learnt the better approach to change management ,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,To a Large Extent,,,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,Chew Nai Sian,,
Learning That Works: Designing Evidence-Based Training for Real Workplace Impact,3,To Some Extent,,,,To Some Extent,To Some Extent,To Some Extent,To Some Extent,To Some Extent,Not at all,To Some Extent,,,To a Large Extent,,,To Some Extent,,To Some Extent,To Some Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Small Extent,Not at all,,Sim Lee Eng Serene,,
Performance-First Learning: A Day as an Instructional Designer,3,To Some Extent,,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,To a Large Extent,,,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,Lee Kang Yam,,
The Future of Learning: Design for All with Technology & UDL,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Very Large Extent,,Wee Irene,,
"Graduate Certificate in Leading Learning, Innovation and Change Across Boundaries - GCLBX (f2f, sync) AY2025",4,To a Large Extent,"Besides the knowledge acquired , the application is useful. Most of all, the trainers are helpful in helping us to understand and know how to apply the knowledge.",,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To Some Extent,,To a Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To Some Extent,To Some Extent,,,,
Performance-First Learning: A Day as an Instructional Designer,3,To Some Extent,,,,To a Large Extent,To a Large Extent,To a Large Extent,To Some Extent,To a Small Extent,To a Small Extent,,,,,,,To a Large Extent,,To Some Extent,To Some Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Large Extent,,,,
Cultivating Effective Leadership through Coaching,3,To Some Extent,,,,To Some Extent,To Some Extent,To Some Extent,To a Large Extent,To a Large Extent,To a Large Extent,To Some Extent,,,To a Large Extent,,,To a Large Extent,,To a Large Extent,"N/A, the course was sponsored by my employer",,To a Large Extent,To a Large Extent,,NG BOON ENG,,
"Graduate Certificate in Innovative Approaches to Adult Learning - GCIAL (f2f, sync) – AY2025",4,To a Large Extent,Many things to learn ,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,To a Large Extent,To a Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Large Extent,To a Large Extent,,Bi Xiaofang,Ho Yan Yin,"Chye Yen Leng, Stefanie"
Power Up Your Learning Design with Google Series: Google Tools 101,3,To Some Extent,,,,To Some Extent,To a Large Extent,To a Large Extent,To a Large Extent,To Some Extent,To Some Extent,,,,,,,To a Large Extent,,To Some Extent,To Some Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To Some Extent,To Some Extent,,,,
Thriving in the AI Age: Harnessing the Six Principles of Learning Design to Cultivate Future-Oriented Learning,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,NA,,To a Very Large Extent,NA,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,Provide pre reading materials ,Choy Seng Kim,Helen Iris Bound,
Leading and Sustaining Change: Tools for Managers in Transformational Environments,4,To a Large Extent,,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,To a Large Extent,,,To a Large Extent,,To a Large Extent,To a Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Large Extent,To a Large Extent,,Koh Gim Han Henry,,
Scenario-Based Learning in Action: Designing Workplace-Relevant Experiences,5,To a Very Large Extent,,,,To a Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,,,,,To a Small Extent,,To a Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To Some Extent,To a Large Extent,,,,
"Graduate Certificate in Implementing and Evaluating Innovation, Change and Learning - GCIEX (f2f, sync) AY2025",5,To a Very Large Extent,Insightful and great learning ,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Very Large Extent,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,Hua Shu Cheng Allen,TAN HUI LING RENEE,
Scenario-Based Learning in Action: Designing Workplace-Relevant Experiences,4,To a Large Extent,,,,To a Small Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,To a Large Extent,,,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Small Extent,To Some Extent,,Tjan Pin Ann Darren Francis,,
Scenario-Based Learning in Action: Designing Workplace-Relevant Experiences,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,Tjan Pin Ann Darren Francis,,
Design for Impact with Technology: Strategic Use of Essential Frameworks,4,To a Large Extent,,,,To Some Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Large Extent,,To a Large Extent,"N/A, the course was sponsored by my employer",,To a Large Extent,To a Large Extent,,Wee Irene,,
